name
BONNAMOUR Franck
BERRADE Urko
PHIPPEN Logan
CEPEDA Jefferson Alveiro
ARRIETA Igor
O'BRIEN Kelland
KLUGE Roger
AFFINI Edoardo
PINOT Thibaut
WÆRSTED Syver
URÁN Rigoberto
ROCHAS Rémy
RIVERA Brandon Smith
NIEVE Mikel
SCHACHMANN Maximilian
VAN WILDER Ilan
GUGLIELMI Simon
BOL Jetse
WILLIAMS Stephen
VIEGAS Daniel
JANSSENS Jimmy
HOLLENSTEIN Reto
MAJKA Rafał
BETTIOL Alberto
COBO Iván
EZQUERRA Jesús
IZAGIRRE Ion
FRANCO Alejandro
BRUSTENGA Marc
HAIG Jack
CONTI Valerio
LÓPEZ Jordi
VERMOTE Julien
VAN POUCKE Aaron
KORETZKY Victor
TEUNISSEN Mike
VERMEERSCH Gianni
CRAS Steff
CHAMPOUSSIN Clément
HUYS Laurens
PEÑA Jesús David
SÁNCHEZ Pelayo
SOBRERO Matteo
SERRY Pieter
JOYCE Colin
GRUZDEV Dmitriy
ALEOTTI Giovanni
LÓPEZ-CÓZAR Juan Antonio
ZURITA Ricardo Alejandro
MENTEN Milan
BRUSSENSKIY Gleb
VAN GESTEL Dries
MEEUS Jordi
HINDLEY Jai
RODENBERG Frederik
STEWART Campbell
DUJARDIN Sandy
PONOMAR Andrii
BAUHAUS Phil
GIRMAY Biniam
ROMO Javier
REX Laurenz
POLI Umberto
ADRIÀ Roger
BALLERINI Davide
DUNBAR Eddie
GALVÁN Francisco
TILLER Rasmus
NIBALI Vincenzo
VELASCO Simone
GRMAY Tsgabu
SOTO Antonio Jesús
DELACROIX Théo
OSORIO Alejandro
SÁNCHEZ Eugenio
CARVALHO Andre
GUERNALEC Thibault
NAKANE Hideto
CARR Simon
DENS Tuur
OSS Daniel
DE PESTEL Sander
EINHORN Itamar
CATTANEO Mattia
BERWICK Sebastian
NATAROV Yuriy
MORICE Julien
MEURISSE Xandro
BASSO Leonardo
HAMILTON Lucas
HAGA Chad
RESTREPO Jhonatan
LIENHARD Fabian
KANGERT Tanel
CANOLA Marco
VAN ASBROECK Tom
TOUZÉ Damien
NIV Guy
PEDERSEN Mads
KRUL Wessel
KREDER Wesley
VAN DER SANDE Tosh
CARBONI Giovanni
ARANBURU Alex
RAVANELLI Simone
EVENEPOEL Remco
MURGUIALDAY Jokin
ZAMBANINI Edoardo
BALLERSTEDT Maurice
ARISTI Mikel
HERMANS Ben
MARQUEZ Marti
BARRENETXEA Jon
PELLAUD Simon
BRAET Vito
KOPECKÝ Matyáš
DEWULF Stan
BUITRAGO Santiago
DE VOS Adam
SWIRBUL Keegan
CARRETERO Héctor
ALMEIDA João
PETILLI Simone
ROOSEN Timo
ARMIRAIL Bruno
SÉNÉCHAL Florian
IRIBAR Unai
HOLLMANN Juri
FABBRO Matteo
BISOLTI Alessandro
WÜRTZ SCHMIDT Mads
FLÓREZ Miguel Eduardo
APERS Ruben
NOVIKOV Savva
SUTER Joel
PARET-PEINTRE Aurélien
KRAGH ANDERSEN Søren
DAVY Clément
THIJSSEN Gerben
FOSS Tobias
TAGLIANI Filippo
ANDERSON Edward
VAN KESSEL Corné
LÓPEZ Miguel Ángel
PERON Andrea
HOWES Alex
GONZÁLEZ Abner
VENDRAME Andrea
DURBRIDGE Luke
ALLEGAERT Piet
NAESEN Lawrence
SEVILLA Diego Pablo
MAAS Jan
CAICEDO Jonathan Klever
BOASSON HAGEN Edvald
POGAČAR Tadej
SELIG Rüdiger
ZANA Filippo
STANNARD Robert
CHAVES Esteban
NEILANDS Krists
HERRADA José
WURF Cameron
PETERS Nans
BRUNEL Alexys
NEKRASOV Denis
VENNER Quentin
RIESEBEEK Oscar
SCULLY Tom
NYCH Artem
GENIEZ Alexandre
NABERMAN Tim
DOMBROWSKI Joe
GAUDU David
GRELLIER Fabien
FANCELLU Alessandro
VUILLERMOZ Alexis
ANGULO Antonio
SANTAROMITA Alessandro
DE BUYST Jasper
HÄNNINEN Jaakko
BERTHET Clément
GRIGNARD Sébastien
VANBILSEN Kenneth
MIQUEL Pau
BISSEGGER Stefan
LÜHRS Luis-Joe
BYSTRØM Sven Erik
CEURENS Robbe
BEWLEY Sam
LEVY William Blume
TRENTIN Matteo
COLNAGHI Luca
DE LA PARTE Víctor
VAN MELSEN Kévin
KOCHETKOV Pavel
GENIETS Kevin
PEÑALVER Manuel
ETXEBERRIA Josu
RAUGEL Antoine
PETIT Adrien
QUINN Sean
GOIKOETXEA Peio
SAGAN Juraj
HAYTER Ethan
MALUCELLI Matteo
DE PLUS Laurens
BENNETT Sam
LANGEVELD Sebastian
BRENNER Marco
SCHÄR Michael
VANDENABEELE Henri
PRONSKIY Vadim
NICOLAU Joel
MATÉ Luis Ángel
CARAPAZ Richard
PÖSTLBERGER Lukas
CHARMIG Anthon
WÆRENSKJOLD Søren
GROVES Kaden
PICHON Laurent
CABOT Jérémy
VENTURINI Clément
WOODS Michael
ABRAHAMSEN Jonas
DENZ Nico
KULSET Sindre
ANDERSEN Idar
HERRADA Jesús
MEZGEC Luka
SCHELLING Ide
BOUCHARD Geoffrey
KUDUS Merhawi
ROVNY Ivan
DECLERCQ Tim
MODOLO Sacha
FIORELLI Filippo
KUSS Sepp
VALTER Attila
EWAN Caleb
JONES Taj
SÜTTERLIN Jasha
STORER Michael
TULETT Ben
MARTINELLI Davide
GALLOPIN Tony
MORTON Lachlan
HEINSCHKE Leon
LAAS Martin
GESINK Robert
MCLAY Daniel
BODNAR Maciej
KING Ben
BOUWMAN Koen
SMITH Dion
SAJNOK Szymon
SKJELMOSE JENSEN Mattias
ŘEPA Vojtěch
SKAARSETH Iver
LAENGEN Vegard Stake
MONIQUET Sylvain
SOLER Marc
TAROZZI Manuele
RIKUNOV Petr
GRÁVALOS Arturo
MIRZA Yousif
ELISSONDE Kenny
CHERNETSKI Sergei
VERGAERDE Otto
CONCI Nicola
NAVARRO Daniel
THOMAS Geraint
LEKNESSUND Andreas
HOLTER Ådne
RIVERA Kevin
COLMAN Alex
VINE Jay
ARAIZ Sergio
FORMOLO Davide
JULLIEN Anthony
KUKRLE Michael
DE POOTER Dries
JENSEN August
DAUGE Lucas
BONNEU Kamiel
FENG Chun Kai
NAESEN Oliver
KELDERMAN Wilco
PELEGRÍ Óscar
VAN LERBERGHE Bert
FETTER Erik
MARTÍNEZ Daniel Felipe
VALVERDE Alejandro
VANSEVENANT Mauri
NOPPE Christophe
VINGEGAARD Jonas
LEEMREIZE Gijs
LEITÃO Iúri
CASTRILLO Jaime
VERNON Ethan
